Date,Open,High,Low,Last,Prev Close,VWAP,Close
1/3/2000,705,759.5,705,758,703.25,741.01,756.9
1/4/2000,710,770,710,740,756.9,742.52,754.55
1/5/2000,755,759,705,740,754.55,739.92,735.3
1/6/2000,740,794.15,740,770,735.3,788.83,785.65
1/7/2000,808,848.5,798,848.5,785.65,827.53,848.5
1/10/2000,900,916.4,865,916.4,848.5,905.42,912.2
1/11/2000,920,920,839.25,865,912.2,858.02,853.75
1/12/2000,900,900,860.55,890.95,853.75,885.18,882.7
1/13/2000,890,920,875,885,882.7,898.96,881.4
1/14/2000,872.5,880,864,870,881.4,873.91,869.65
1/17/2000,880,890,870,878,869.65,881,875.95
1/18/2000,870.1,899,868,890,875.95,880.59,881.05
1/19/2000,889,911,889,906.5,881.05,901.81,900.85
1/20/2000,907,919.9,893.55,894,900.85,905.26,895.7
1/21/2000,897.9,897.9,885.25,890,895.7,888.42,888.25
1/24/2000,880,895,851,886,888.25,877.38,884.75
1/25/2000,871,890,870,870,884.75,878.74,881.25
1/27/2000,865.9,885,810.75,825.15,881.25,833.19,830.3
1/28/2000,800,815,782,790,830.3,796.65,792.45
1/31/2000,778.65,788,729.25,752,792.45,759.2,746.75
2/1/2000,751,759,721,725,746.75,738.07,731.5
2/2/2000,740,752,700,735,731.5,739.03,731.05
2/3/2000,750,750,695,715,731.05,713.32,714.15
2/4/2000,720,720,706,715,714.15,711.8,713.5
2/7/2000,701,717,700,704.8,713.5,708.3,701.7
2/8/2000,704,704,680,683,701.7,687.66,685.5
2/9/2000,714,740.35,695,704.1,685.5,711.68,707.4
2/10/2000,719,730,707,715,707.4,715.42,712.1
2/11/2000,723,729,700,710,712.1,712.06,704.15
2/14/2000,710,711,690,693,704.15,696.07,690.6
2/15/2000,681,681,640,668,690.6,657.71,653.3
2/16/2000,670,680,662,680,653.3,671.57,674.7
2/17/2000,670,698,670,674,674.7,679.09,677
2/18/2000,670,694.9,661,675,677,670.66,667.05
2/21/2000,675,690,655,670,667.05,669.13,665.7
2/22/2000,670,670,655,659.9,665.7,660.67,657.45
2/23/2000,658,680,655,670,657.45,668.06,665.65
2/24/2000,675,677,642,665,665.65,658.93,662.1
2/25/2000,674,674,640,645,662.1,654.42,641.85
2/28/2000,640,656,609.15,634.5,641.85,640.47,635.85
2/29/2000,650,659.85,605,605,635.85,634.25,611.5
3/1/2000,625,625,562.6,562.6,611.5,569.89,562.6
3/2/2000,527,530,517.6,517.6,562.6,518.26,517.6
3/3/2000,476.2,545.45,476.2,500,517.6,487.22,504.6
3/6/2000,525,525,464.25,476.25,504.6,481.61,475.3
3/7/2000,479.9,490,462,470,475.3,474.37,469.35
3/8/2000,488,506.45,465.1,494,469.35,490.24,489.4
3/9/2000,500,500,475,499.75,489.4,480.96,499.65
3/10/2000,500,517.9,470,490,499.65,487.73,486.15
3/13/2000,500,520,487,512,486.15,504.55,512
3/14/2000,510,530,490,528.75,512,497.86,519.95
